date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:49:58	33269/33269	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:04%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-13	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-13.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:49:58	35977/35977	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:04%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-14	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-14.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:49:58	34103/34103	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:04%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-15	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-15.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:49:59	36138/36138	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:05%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-16	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-16.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:49:59	33503/33503	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:05%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-17	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-17.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:01	33237/33237	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:08%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-19	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-19.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:02	35449/35449	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:08%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-20	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-20.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:02	34000/34000	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:06%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-18	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-18.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:02	35093/35093	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:08%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-21	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-21.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
19:50:03	53250/53250	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Jun%202020%2013:50:09%20GMT	https://codewithharry.com/videos/javascript-tutorials-in-hindi-22	E:/New%20folder/website1/codewithharry.com/videos/javascript-tutorials-in-hindi-22.html	(from https://codewithharry.com/videos/javascript-tutorials-in-hindi-1)
